PLOTIDd,LON,LAT,Modified_stratamap,old_strata,Intended_1A_yes2000,Intended_1B_no2000
956,123.98812740202949,9.976016813396509,44,42,42,42
984,120.35641700815154,14.678696261886868,47,42,70,80
89,121.21179298593094,13.129640228728197,88,80,80,80
91,122.31725764629277,16.911729346532553,88,80,80,80
160,125.86084282605148,9.459394283546375,88,80,80,80
247,120.58063398642196,16.664601507049525,88,80,80,80
273,120.92019899074292,12.741301577084648,88,80,80,80
277,121.22526838931441,15.35108410973597,55,80,50,50
279,120.12976981980698,15.519789738992046,44,80,42,42
502,122.25985563843176,17.02006320662602,88,80,80,80
589,121.86989833310581,17.77896207401302,88,80,80,80
699,123.19607957741117,10.82357598702918,88,80,80,80
911,124.97878804666935,11.8977823490064,47,80,80,80
923,124.6214356882462,7.532509699927128,88,80,80,80
934,125.37521550762382,12.297442658224647,88,80,80,80
947,119.03454771456488,10.14310378897018,88,80,80,80
969,123.92344814124924,7.8367675421069025,88,80,80,80
271,123.06618596372428,13.562181949114555,55,50,50,50
298,123.12951411688532,8.031072870510808,55,50,41,50
560,124.80819621766766,8.977267359445701,57,50,70,70
642,125.4716926180162,12.077265625508652,55,50,50,50
741,122.62717854681041,13.520948641673339,55,50,50,50
758,125.13725112080566,8.51643264287523,55,50,50,50
11,123.60140294496726,9.253771756668828,66,60,60,60
17,120.59438139496976,17.919637794047134,66,60,60,60
49,121.37402845955843,14.17689578393839,27,60,70,70
84,121.05629521399513,14.813713382684156,66,60,60,60
105,121.06033515954958,15.537305087929976,66,60,60,60
106,125.12970632182322,7.179469292222661,66,60,60,60
108,121.79956047308875,17.605137396747597,66,60,60,60
112,121.59474504350193,17.499496833690408,66,60,60,60
115,120.24080143603777,15.54646854059481,66,60,60,60
141,119.78724397238655,11.481953339368356,47,60,80,80
181,120.86010368584562,18.068397864291146,66,60,60,60
188,123.98596919711962,10.552462642979672,66,60,60,60
208,121.15088612464189,15.227116641349122,66,60,60,60
218,123.9902811478383,10.287819454558711,66,60,60,60
221,124.31825694852132,6.649375818090066,66,60,60,60
275,120.62375349360879,16.139894626989495,88,60,80,80
308,124.71737770651212,7.293466210654002,66,60,60,60
380,124.83595412172535,10.153074338925686,66,60,60,60
439,124.4740222665203,7.3600316711798435,66,60,60,60
442,123.66850349761954,10.258986907147131,66,60,60,60
499,124.8801527313671,6.256181205399315,66,60,60,60
507,122.22563203784658,7.091076532040201,66,60,60,60
529,122.91823299077095,7.393720179638624,66,60,60,60
542,124.43871956348019,9.932897306209686,66,60,60,60
549,123.35696840252055,9.472602140866682,66,60,60,60
553,124.95426299087536,8.612642207204377,77,60,70,70
558,121.69284080757664,17.403015264197002,66,60,60,60
559,120.84231633174342,14.293318453342808,66,60,60,60
565,117.35882645688204,8.521823696048845,66,60,60,60
575,123.27746708983867,12.458331483334028,66,60,60,60
577,118.40123496924713,9.3362339124502,66,60,60,60
610,120.4776911795021,14.993196659186404,66,60,60,60
614,122.70236790877365,11.042134366062777,66,60,60,60
623,119.93277119436681,15.881989140260297,66,60,60,60
624,123.86954652771519,10.4799710371538,66,60,60,60
648,124.85508812434568,7.346828272960592,66,60,60,60
689,122.41050636752244,7.704176172282689,88,60,80,80
706,122.26228138940485,13.883148042941587,66,60,60,60
726,122.82794957174183,11.455002532601332,66,60,60,60
730,120.25589549310371,15.103421178126535,66,60,60,60
739,125.70696370779808,7.870184045401425,66,60,60,60
745,126.38662880856644,7.200761499752864,66,60,60,60
781,121.22418928685951,12.497406585865372,66,60,60,60
794,124.9445599869831,7.794455132210755,66,60,60,60
797,125.01274410119133,6.6210783628049,66,60,60,60
812,125.86407567431522,9.487424192768337,66,60,60,60
831,117.25749784454356,8.426421229010371,66,60,60,60
832,122.42667506794223,14.031101015894924,66,60,60,60
876,122.55279628213789,9.850430691327258,66,60,60,60
894,120.12545786908831,15.30823660771341,66,60,60,60
909,122.67514955594338,9.543207546946945,66,60,60,60
926,121.41957371771832,16.54845084280937,66,60,60,60
928,120.5119147800873,15.842102481337214,66,60,60,60
942,120.8115931254852,17.762793373593233,66,60,60,60
962,120.08153126461083,15.338420262744183,66,60,60,60
451,125.65387365065578,11.170413785168307,33,41,41,41
567,120.9584669959836,13.44387307996453,44,42,42,42
884,125.98049834371963,8.566022305690602,23,32,80,41
950,125.3981219097354,7.555416102038681,33,41,41,41
960,124.51013652595219,12.147331480361446,37,41,70,70
198,126.46855587222137,7.245227655457824,17,31,70,70
248,125.30811495497159,11.159096586694663,17,31,80,80
374,124.65323799695938,8.088746883536075,66,31,60,60
480,120.85498017873523,18.094809119830703,66,31,60,60
505,124.2657064426065,6.57122115392632,17,31,70,70
506,120.44103736884276,14.7775991232523,44,31,42,42
557,118.46106272808122,9.463706234265059,17,31,80,80
406,126.16617977068618,7.182974145650669,33,41,41,41
510,124.52900298250931,11.400293821776604,55,41,50,50
586,124.61793529391925,12.249743654255935,37,41,70,80
600,124.07274776272071,13.66782251217174,37,41,70,70
601,125.34637850111122,8.886448848290168,37,41,80,80
700,122.51964732490657,11.222157193792494,37,41,80,80
721,125.37413640516891,8.06772668117013,33,41,41,41
66,123.44751936761286,9.979249661660255,66,70,60,60
293,123.57067973870903,13.806072481232777,77,70,70,70
459,124.33280699525874,8.066108027487733,77,70,70,70
569,123.3556217540024,13.944054904230608,77,70,70,70
585,124.776937919283,10.483203885417549,77,70,70,70
647,121.1565447238787,14.136202027724645,77,70,70,70
705,121.00158650317042,17.161550483051855,77,70,70,70
715,124.98767949416992,11.895624144096534,77,70,70,70
787,125.24882228826392,11.923382048154235,77,70,70,70
866,121.34869630647378,12.407395172000516,77,70,70,70
869,121.53599638712274,14.251545594674127,77,70,70,70
872,121.54919978534198,15.942356450321844,77,70,70,70
897,124.16006142044823,7.731126979049717,77,70,70,70
912,121.51201088255625,14.404082523510406,77,70,70,70
82,120.29470304957184,15.265656651754055,27,32,80,80
290,120.84878202827095,17.121396278065575,47,32,70,70
430,125.4097111133733,5.841698844279414,27,32,70,70
630,125.41644881506505,11.689194519928305,27,32,70,70
664,126.14920397297568,6.657460168299965,27,32,80,80
793,125.85653087533277,8.993975611092962,27,32,80,80
843,123.2955264491051,8.278740261221296,47,32,70,70
87,119.63309284896893,10.681014067249462,47,42,80,80
100,120.58629704475983,17.521324133347026,47,42,80,80
159,125.3814136580881,8.88159734634402,44,42,42,42
286,121.25733824409083,13.763224979210214,47,42,70,70
568,122.98722420226987,9.575009855660118,44,42,42,42
571,120.63372850266535,16.692091865044016,66,42,60,60
609,126.30712749588454,6.980044915809399,44,42,42,42
619,123.08100801562593,7.841619044053053,47,42,80,80
736,125.44609291886836,7.297778161372685,47,42,80,80
798,125.25340178504578,7.2665154038869755,46,42,60,60
804,122.72958626160387,13.95186724927624,47,42,70,70
