Plot No.,User A,User B,Land Cover 2000? Summary,Land cover in 2000? A,Land cover in 2000? B,Type Forest 2000? Summary,Type of forest? A,Type of forest? B,Type NF (2000) Summary,Type NF A,Type NF B,Type of Crop (2000) Summary,Type of Crop A,Type of Crop B,Change (1st) Summary,Was there a forest change (1st)? A,Was there a forest change (1st)? B,Year of Change (1st) Summary,Year of first change? A,Year of first change? B,Type of change (1st)? Summary,Type of change? (first) A,Type of change? (first) B,Driver of change (1st) Summary,Driver of change? (1st) A,Driver of change? (1st) B,Was there 2nd change? Summary,2nd Change Year_A,2nd Change Year_B,Type of Change (2nd)? Summary,Type of change (2nd)? A,Type of change? (second) B,Driver of change? (2nd) Summary,Driver of change? (2nd) A,Driver of change (2nd)? B,Year of Change (3rd)? Summary,Year of third change? A,Year of third change? B,Type of Change (3rd) Summary,Type of change? (3rd) A,Type of change? (3rd) B,More than 3 changes? Summary,More than 3 changes? A,More than 3 changes? B,Land cover (2018) Summary,Land cover end of 2018? A,Land cover end of 2018? B,Type of Forest (2018) Summary,Type of forest? (2018),Type of forest? (2018),Type of NF (2018)? Summary,Type of NF? (2018) A,Type of NF? (2018) B,Type of crop (2018)? Summary,Type of crop? (2018) A,Type of crop? (2018) B
49,Azi,Merel,D,non-forest,forest,D,NA,inland forest,D,shrubs,NA,NA,NA,NA,D,N/A non-forest entire time,yes,D,NA,2002,A,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,2015,D,NA,Deforestation,D,NA,Grazing,D,NA,2018,D,NA,Deforestation,D,NA,no,A,non-forest,non-forest,NA,NA,NA,A,shrubs,shrubs,NA,NA,NA
50,Azi,Merel,A,non-forest,non-forest,NA,NA,NA,D,shrubs,built-up,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,other (leave in note),built-up,NA,NA,NA
51,Kim,Azi,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA,A,N/A non-forest entire time,N/A non-forest entire time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,non-forest,non-forest,NA,NA,NA,D,annual crop,grassland,NA,NA,NA
52,Kim,Azi,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
53,Azi,Hanna,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
54,Hanna,Leizel,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm,D,yes,N/A non-forest entire time,D,2015,NA,A,Deforestation,NA,D,Unsure,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm
55,Azi,Harold,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA,A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
56,Harold,Azi,A,non-forest,non-forest,NA,NA,NA,D,annual crop,open/barren,NA,NA,NA,D,no,yes,D,NA,2013,A,NA,Reforestation,NA,NA,NA,D,NA,2015,D,NA,Degradation,D,NA,Legal / illegal logging / poaching,D,NA,2017,D,NA,Reforestation,D,NA,unsure,A,non-forest,non-forest,NA,NA,NA,D,annual crop,perennial crop,D,NA,unsure
57,Azi,Tin,D,forest,non-forest,D,inland forest,NA,D,NA,perennial crop,D,NA,coconut / other palm,D,yes,no,D,2016,NA,A,Reforestation,NA,NA,NA,NA,D,2018,NA,D,Reforestation,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,A,forest,forest,A,inland forest,inland forest,NA,NA,NA,NA,NA,NA
58,Leizel,Tin,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,,unsure,NA,D,N/A non-forest entire time,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,non-forest,forest,D,NA,inland forest,D,perennial crop,NA,D,unsure,NA
